日期,品牌,产品,价格,收藏,累计评论,付款(累计）,特点活动,,,,,,,
2022-02-17,Eternaleaf,眼霜,398,6,1,15,2022/2/14/~2022/2/16：情人节,,,,,,淘宝（浏览量）,淘宝（访客量）
2022-02-17,Eternaleaf,眼膜,99,27,21,7,2022/2/14/~2022/2/16：情人节,,,,,,184,23
2022-02-19,Eternaleaf,眼霜,398,6,3,17,,,,,,,114,30
2022-02-19,Eternaleaf,眼膜,99,26,21,6,,,,,,,155,18
2022-02-20,Eternaleaf,眼霜,398,6,3,17,,,,,,,119,19
2022-02-20,Eternaleaf,眼膜,99,26,21,5,,,,,,,102,31
2022-02-20,Eternaleaf,眼霜,398,6,3,17,,,,,,,127,28
2022-02-20,Eternaleaf,眼膜,99,26,21,5,,,,,,,79,22
2022-02-21,Eternaleaf,眼霜,398,6,3,17,,,,,,,123,28
2022-02-21,Eternaleaf,眼膜,99,26,21,5,,,,,,,143,33
2022-02-22,Eternaleaf,眼霜,398,7,3,18,,,,,,,158,32
2022-02-22,Eternaleaf,眼膜,99,27,21,5,,,,,,,142,33
2022-02-23,Eternaleaf,眼霜,398,7,6,19,,,,,,,154,34
2022-02-23,Eternaleaf,眼膜,99,28,21,5,,,,,,,50,17
2022-02-24,Eternaleaf,眼霜,398,7,7,19,,,,,,,46,15
2022-02-24,Eternaleaf,眼膜,99,29,21,5,,,,,,,34,9
2022-02-25,Eternaleaf,眼霜,398,7,7,19,,,,,,,91,16
2022-02-25,Eternaleaf,眼膜,99,29,21,5,,,,,,,150,29
2022-02-26,Eternaleaf,眼霜,398,7,7,19,,,,,,,124,20
2022-02-26,Eternaleaf,眼膜,99,29,21,5,,,,,,,779,62
2022-02-27,Eternaleaf,眼霜,398,7,7,18,,,,,,,50,8
2022-02-27,Eternaleaf,眼膜,99,30,9,6,,,,,,,31,5
2022-02-28,Eternaleaf,眼霜,398,7,7,18,,,,,,,133,28
2022-02-28,Eternaleaf,眼膜,99,32,9,6,,,,,,,162,29
2022-03-01,Eternaleaf,眼霜,398,7,7,18,,,,,,,117,35
2022-03-01,Eternaleaf,眼膜,99,32,9,6,,,,,,,131,33
2022-03-02,Eternaleaf,眼霜,398,7,7,18,2022.3.4~2022.3.8 ：3.8节 ,,,,,,273,45
2022-03-02,Eternaleaf,眼膜,99,32,9,6,2022.3.4~2022.3.8 ：3.8节 ,,,,,,209,52
2022-03-03,Eternaleaf,眼霜,398,7,7,18,2022.3.4~2022.3.8 ：3.8节 ,,,,,,395,110
2022-03-03,Eternaleaf,眼膜,99,32,9,6,2022.3.4~2022.3.8 ：3.8节 ,,,,,,251,114
2022-03-04,Eternaleaf,眼霜,398,8,9,18,2022.3.4~2022.3.8 ：3.8节 ,,,,,,200,77
2022-03-04,Eternaleaf,眼膜,99,32,9,6,2022.3.4~2022.3.8 ：3.8节 ,,,,,,196,50
2022-03-05,Eternaleaf,眼霜,398,8,9,18,2022.3.4~2022.3.8 ：3.8节 ,,,,,,250,48
2022-03-05,Eternaleaf,眼膜,99,32,9,6,2022.3.4~2022.3.8 ：3.8节 ,,,,,,180,55
2022-03-06,Eternaleaf,眼霜,398,8,9,18,2022.3.4~2022.3.8 ：3.8节 ,,,,,,197,58
2022-03-06,Eternaleaf,眼膜,99,32,9,6,2022.3.4~2022.3.8 ：3.8节 ,,,,,,73,24
